neighborhood	logFC	logCPM	F	PValue	FDR	Nhood	SpatialFDR	finalIdent	finalIdent_fraction
1410	-1.111908153	8.802411104	1.021074361	0.325550195	0.995803853	1410	0.99284724	CD4 Naive	0.988738739
57	1.017672227	8.943609092	1.018990962	0.32603106	0.995803853	57	0.99284724	CD16 NK	0.996402878
1612	-1.488392766	7.912671207	1.016044346	0.327040718	0.995803853	1612	0.99284724	CD16 NK	0.802030457
2026	-1.172015508	8.366638006	1.012350099	0.327737055	0.995803853	2026	0.99284724	Mixed	0.495114007
2209	-1.180849333	8.908302619	1.009833959	0.328176674	0.995803853	2209	0.99284724	CD4 Naive	0.940617577
264	0.964362291	8.561539228	1.009461819	0.328243168	0.995803853	264	0.99284724	CD14 Monocytes	0.933467742
468	-1.243776215	9.199539233	1.007831081	0.328623833	0.995803853	468	0.99284724	CD4 Activated	0.713740458
1356	1.081277908	8.850422646	1.006945655	0.328902447	0.995803853	1356	0.99284724	Mixed	0.557180851
1308	-1.312020034	9.289319708	1.005522221	0.329163852	0.995803853	1308	0.99284724	CD16 NK	0.989221557
793	1.125533064	8.568971657	1.005390716	0.329520821	0.995803853	793	0.99284724	CD8 Activated	0.923913043
1317	-1.349044164	8.649641743	1.003203539	0.330033247	0.995803853	1317	0.99284724	CD4 Naive	0.93575419
1480	0.963911907	8.444316873	1.001310909	0.330152043	0.995803853	1480	0.99284724	CD14 Monocytes	0.900243309
2065	1.069722519	9.078416677	1.000656438	0.330305989	0.995803853	2065	0.99284724	CD16 NK	0.99070632
2037	-1.278846882	8.075640293	0.995686906	0.331779665	0.995803853	2037	0.99284724	Mixed	0.631147541
1025	0.984917801	8.794398829	0.992955851	0.332124933	0.995803853	1025	0.99284724	CD4 Activated	0.910369069
819	1.286759744	8.375629914	0.993276483	0.332373154	0.995803853	819	0.99284724	CD14 Monocytes	1
2061	-1.224720349	9.262277486	0.990585752	0.332687603	0.995803853	2061	0.99284724	CD4 Naive	0.788732394
2137	-1.011919781	8.658382276	0.985858129	0.33381397	0.995803853	2137	0.99284724	CD4 Naive	0.97027027
1994	1.108376361	8.290330884	0.984497067	0.334462061	0.995803853	1994	0.99284724	CD8 Activated	0.855871886
1141	1.724715811	9.460448749	0.982726818	0.334885502	0.995803853	1141	0.99284724	CD8 Naive	0.951557093
762	-1.186279735	9.47996795	0.979694452	0.335290563	0.995803853	762	0.99284724	CD4 Naive	0.826869806
1544	1.010842403	8.459287194	0.978851063	0.335513304	0.995803853	1544	0.99284724	CD16 Monocytes	0.997946612
2104	-1.722830508	7.489527523	0.978967238	0.335787304	0.995803853	2104	0.99284724	CD16 NK	0.970917226
277	-1.275453305	10.04581872	0.97637205	0.336090313	0.995803853	277	0.99284724	Mixed	0.683359014
517	-1.496124277	9.487153872	0.975077883	0.336723849	0.995803853	517	0.99284724	CD8 Activated	0.976551724
1320	1.147619126	7.936711302	0.970669784	0.337498236	0.995803853	1320	0.99284724	CD8 Activated	0.864864865
981	-1.357973675	9.416073418	0.970778479	0.337606039	0.995803853	981	0.99284724	CD4 Naive	0.70295203
2240	-1.121717286	8.204630652	0.969297451	0.337802268	0.995803853	2240	0.99284724	cDC	0.976973684
888	-1.194118016	8.109427464	0.965085081	0.338841053	0.995803853	888	0.99284724	Mixed	0.520210896
891	-1.096528323	8.598832883	0.963485962	0.339370646	0.995803853	891	0.99284724	CD4 Naive	0.991957105
457	1.13929526	8.589522826	0.955918537	0.341391788	0.995803853	457	0.99284724	CD14 Monocytes	0.99789916
834	-0.968407494	8.473838322	0.954228132	0.341490202	0.995803853	834	0.99284724	cDC	0.984293194
1829	1.049929542	9.095167379	0.952605794	0.341890638	0.995803853	1829	0.99284724	Mixed	0.56350185
906	-1.495574244	8.49485873	0.953458728	0.341997732	0.995803853	906	0.99284724	CD16 NK	0.985943775
1862	0.97343891	8.750282924	0.950051649	0.342522422	0.995803853	1862	0.99284724	CD8 Activated	0.912951168
