"gene"	"log2FC"	"pval"	"adjp"
"TMEM117"	"0.134751356659341"	"3.03908807558532e-05"	5.03194920691088e-05
"PIGL"	"-0.118360886558356"	"3.03908807558532e-05"	5.03194920691088e-05
"SNX30"	"-0.296084343151364"	"3.04786003863836e-05"	5.04480341272967e-05
"ATMIN"	"-0.103605272599686"	"3.07896820716621e-05"	5.09292294055734e-05
"GXYLT1"	"-0.126377828999561"	"3.09237173809205e-05"	5.11340278807816e-05
"C5orf24"	"-0.108353632515671"	"3.12386259733427e-05"	5.16376758488633e-05
"ZC3H4"	"-0.135887709266298"	"3.17396464499703e-05"	5.24485337108528e-05
"MXI1"	"0.158361218436664"	"3.19237214484244e-05"	5.27352888655941e-05
"ARL15"	"-0.12298562818172"	"3.20161388684729e-05"	5.28704940970952e-05
"ZNF235"	"-0.158807357354669"	"3.21552394850607e-05"	5.30826758759979e-05
"H2AFX"	"-0.139462009992807"	"3.22949186987415e-05"	5.32956724945909e-05
"DDX59"	"-0.101255365420921"	"3.27174163586531e-05"	5.39751044280946e-05
"LMO7"	"-0.432386386790734"	"3.30190396697032e-05"	5.44547432996556e-05
"ABCB1"	"-0.219387683904225"	"3.37237572804412e-05"	5.55986268677544e-05
"GPR141"	"0.301328803559972"	"3.42506834921551e-05"	5.64487376697726e-05
"ACBD5"	"0.114181220567459"	"3.43119383402026e-05"	5.65310657370532e-05
"ETS2"	"-0.19921831273845"	"3.45350054602713e-05"	5.68798476497455e-05
"STMN1"	"-0.112898005851052"	"3.51113487505266e-05"	5.77910386476256e-05
"TTC21B"	"0.106832904882853"	"3.51113487505266e-05"	5.77910386476256e-05
"FBXL6"	"0.0861672184500997"	"3.52631940107691e-05"	5.80218738295615e-05
"CCDC88B"	"-0.13773790502831"	"3.56711693304049e-05"	5.8673853663494e-05
"COBLL1"	"0.594426570432466"	"3.58922430749682e-05"	5.90180801646913e-05
"C2CD3"	"-0.123677276885666"	"3.6031820690316e-05"	5.92281193207232e-05
"MRGBP"	"-0.141064948370989"	"3.65006045332279e-05"	5.99789828762175e-05
"NRROS"	"-0.265125947103155"	"3.66581485067669e-05"	6.02180817178483e-05
"ATP8B2"	"-0.184565387605356"	"3.71346632225805e-05"	6.09608091366418e-05
"DNAJC17"	"-0.109964490530798"	"3.71346632225805e-05"	6.09608091366418e-05
"EPS15"	"-0.0549637006063043"	"3.73483298658451e-05"	6.12914520961146e-05
"MLLT6"	"-0.0811613805276195"	"3.76170546754101e-05"	6.17122031769109e-05
"MED23"	"-0.124997380849486"	"3.77250576940073e-05"	6.1869094618172e-05
"PLCB2"	"-0.0999377029761117"	"3.83243556411282e-05"	6.28313428111843e-05
"THOC1"	"-0.105046713217505"	"3.93245607921729e-05"	6.44500173926766e-05
"BASP1"	"0.699426034784645"	"3.93524649620216e-05"	6.4474624873905e-05
"TFIP11"	"-0.128847122080925"	"3.95501686005231e-05"	6.47773226391017e-05
"CD79A"	"-0.490272174459544"	"4.00726423108633e-05"	6.56115734333677e-05
"ISYNA1"	"-0.212561883096825"	"4.02343854727721e-05"	6.58548416671486e-05
"ARL4A"	"-0.211905376740166"	"4.04649433014479e-05"	6.62105483787512e-05
"MIR762HG"	"-0.114984534802816"	"4.12229455798016e-05"	6.74287684075107e-05
"CCND2"	"-0.134307291751622"	"4.16366616208756e-05"	6.80832237422752e-05
"CLEC4C"	"-1.95749538366723"	"4.19930325870324e-05"	6.86435127452079e-05
"CALM1"	"-0.0171891023719685"	"4.22345236316149e-05"	6.90157096391172e-05
"RAB11FIP3"	"0.140831046693136"	"4.24759414592233e-05"	6.93875438207168e-05
"OSBPL10"	"-0.528252719186597"	"4.31071283947637e-05"	7.0395643562066e-05
"HERC1"	"-0.0959326760029224"	"4.45181974303493e-05"	7.26762478938013e-05
"NPIPB4"	"-0.22137882788346"	"4.45815146479992e-05"	7.27558682770936e-05
"LINC01934"	"-0.201943591838458"	"4.46449172729087e-05"	7.2835576059716e-05
"VCPKMT"	"-0.101714163804024"	"4.53480140859751e-05"	7.39344088846309e-05
"PIP4K2C"	"-0.132057773055142"	"4.53480140859751e-05"	7.39344088846309e-05
"LINC01781"	"-2.25624747030964"	"4.64157602868476e-05"	7.56505809562762e-05
"PEX3"	"-0.117631132028439"	"4.74535810817379e-05"	7.73168770589098e-05
"CEP290"	"-0.100860720078874"	"4.75882106330966e-05"	7.7510983258466e-05
